m-airspeed-MPS,m-altitudeASL-MTR,m-altitudeAGL-MTR,m-groundspeed-MPS,m-pitchRate-DEGpSEC,m-rollRate-DEGpSEC,m-yawRate-DEGpSEC,m-azimuth-DEG,m-inclination-DEG,m-roll-DEG,m-aircraftPositionX-MTR,m-aircraftPositionY-MTR,m-velocityWorldU-MPS,m-velocityWorldV-MPS,m-velocityWorldW-MPS,m-velocityBodyU-MPS,m-velocityBodyV-MPS,m-velocityBodyW-MPS,m-accelerationWorldAX-MPS2,m-accelerationWorldAY-MPS2,m-accelerationWorldAZ-MPS2,m-accelerationBodyAX-MPS2,m-accelerationBodyAY-MPS2,m-accelerationBodyAZ-MPS2,m-windX-MPS,m-windY-MPS,m-windZ-MPS,m-propRPM,m-heliMainRotorRPM,m-batteryVoltage-VOLTS,m-batteryCurrentDraw-AMPS,m-batteryRemainingCapacity-MAH,m-fuelRemaining-OZ,m-isLocked,m-hasLostComponents,m-anEngineIsRunning,m-isTouchingGround,m-currentPhysicsTime-SEC,m-currentPhysicsSpeedMultiplier,m-orientationQuaternion-X,m-orientationQuaternion-Y,m-orientationQuaternion-Z,m-orientationQuaternion-W,rc_channel_0,rc_channel_1,rc_channel_2,rc_channel_3,rc_channel_4,rc_channel_5,rc_channel_6,rc_channel_7,rc_channel_8,rc_channel_9,rc_channel_10,rc_channel_11
36.91093474031884,6.093000839768536,6.093000839768536,36.808192938756264,-0.7897489570744938,-1.0496941498640808,-1.3618747589280247,-40.93031692504883,5.890667915344238,7.3137125968933105,96.28520202636719,104.20349884033203,27.83267593383789,24.087034225463867,-2.752096652984619,36.89625549316406,0.09630199521780014,1.0362497568130493,1.067283034324646,2.1891119480133057,0.5373453497886658,3.179147481918335,-0.19639825820922852,-9.032242774963379,0,0,0,42797.2734375,-1,24.600961266801548,45.47958755493164,3696.246826171875,-1,False,False,True,False,388.30126348906197,1,0.07031281292438507,0.04174749180674553,-0.3453945219516754,0.9348881244659424,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
36.930971548492835,6.1357755549578314,6.1357755549578314,36.829352833242666,1.1898669128527217,-2.463975026425487,0.5206246308746358,-40.94206619262695,5.886533260345459,7.2963385581970215,96.66045379638672,104.63694763183594,27.83613395690918,24.115365982055664,-2.7377781867980957,36.91592025756836,0.10922565311193466,1.0484474897384644,-0.07058828324079514,1.740715742111206,1.0430845022201538,1.9797638058662415,0.258097767829895,-8.702625274658203,0,0,0,41310.85546875,-1,24.600961266801548,40.79728317260742,3696.246826171875,-1,False,False,True,False,388.3168350888882,1,0.07023106515407562,0.04161122441291809,-0.3455038368701935,0.9348599314689636,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
36.93711264282111,6.154181408456793,6.154181408456793,36.835983342599896,2.2929656685746522,-3.622181452892619,1.5717728639001507,-40.937992095947266,5.897067070007324,7.277102470397949,96.82269287109375,104.82418823242188,27.835357666015625,24.126386642456055,-2.7314138412475586,36.921669006347656,0.12198459357023239,1.060721755027771,-0.13065697252750397,1.5888397693634033,0.9027907848358154,1.851688802242279,0.1668415069580078,-8.846057891845703,0,0,0,40668.71484375,-1,24.600961266801548,37.28531265258789,3696.246826171875,-1,False,False,True,False,388.3235618888866,1,0.07025732100009918,0.041424460709095,-0.34547528624534607,0.9348767399787903,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
36.940676167443364,6.170453671231144,6.170453671231144,36.8398662746448,2.944606020419542,-3.9075198468790404,2.201289380464459,-40.92947006225586,5.912991046905518,7.253937244415283,96.96649932861328,104.99009704589844,27.833852767944336,24.134050369262695,-2.7272346019744873,36.92481231689453,0.1355852335691452,1.0739234685897827,-0.2758660614490509,1.1940231323242188,0.5976654291152954,1.5189462304115295,-0.07409310340881348,-9.158476829528809,0,0,0,40099.78125,-1,24.600961266801548,35.10761260986328,3696.246826171875,-1,False,False,True,False,388.3295219889842,1,0.07031401246786118,0.04119184985756874,-0.34540921449661255,0.9349072575569153,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
36.943293590370565,6.188766507150831,6.188766507150831,36.842631611716605,3.104089861565626,-3.155970481548593,2.3815261099339295,-40.91691207885742,5.93486213684082,7.227579116821289,97.12859344482422,105.1770248413086,27.83205795288086,24.14034080505371,-2.725332498550415,36.926944732666016,0.15102891623973846,1.0883668661117554,-0.3424091637134552,0.8017137050628662,0.17794667184352875,1.25991690158844,-0.3771216869354248,-9.57170295715332,0,0,0,39458.6640625,-1,24.600961266801548,33.233036041259766,3696.246826171875,-1,False,False,True,False,388.3362379889004,1,0.07040808349847794,0.04091743007302284,-0.34530821442604065,0.934949517250061,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
36.94450734591915,6.207576987119637,6.207576987119637,36.84383912457749,2.7569856434192843,-2.1573108620304993,2.2346424730108083,-40.903343200683594,5.957633018493652,7.2060394287109375,97.29522705078125,105.36912536621094,27.829774856567383,24.14481544494629,-2.725461721420288,36.927711486816406,0.16595198214054108,1.1012741327285767,-0.4218234419822693,0.5274628400802612,-0.1215609759092331,1.056237831711769,-0.5679575800895691,-9.872020721435547,0,0,0,38799.75390625,-1,24.600961266801548,31.636049270629883,3696.246826171875,-1,False,False,True,False,388.34314028872177,1,0.0705236941576004,0.04068019986152649,-0.345195472240448,0.934992790222168,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
36.9445195764538,6.226714772695516,6.226714772695516,36.843723676449756,2.2088783605458957,-1.2614100455509742,1.901636831754331,-40.89052963256836,5.9778876304626465,7.19106388092041,97.46475982666016,105.56451416015625,27.82693099975586,24.147916793823242,-2.7271876335144043,36.927371978759766,0.17943207919597626,1.1109944581985474,-0.4198422133922577,0.3939749300479889,-0.3023594617843628,0.992954695597291,-0.6903578042984009,-10.046256065368652,0,0,0,38129.50390625,-1,24.600961266801548,30.185712814331055,3696.246826171875,-1,False,False,True,False,388.3501612888649,1,0.07063891738653183,0.040503814816474915,-0.34508654475212097,0.9350319504737854,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
36.94254690649723,6.245089232761472,6.245089232761472,36.8415886680584,1.566354389751723,-0.5869375465031226,1.4989515254019352,-40.880130767822266,5.99306583404541,7.182704925537109,97.62742614746094,105.75194549560547,27.822999954223633,24.149188995361328,-2.729306936264038,36.92515563964844,0.1903451830148697,1.117134928703308,-0.6463358998298645,0.11916494369506836,-0.35533323884010315,0.6518491506576538,-0.7590838372707367,-10.127254486083984,0,0,0,37486.4375,-1,24.600961266801548,28.891340255737305,3696.246826171875,-1,False,False,True,False,388.35689758881927,1,0.07073362171649933,0.04039550945162773,-0.3449966609477997,0.9350626468658447,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
36.93935342573777,6.262730598030771,6.262730598030771,36.83820996412889,0.9742365719343979,-0.15815099383576126,1.0825871651620673,-40.87226867675781,6.003314971923828,7.178822994232178,97.78348541259766,105.93174743652344,27.818391799926758,24.149343490600586,-2.7316877841949463,36.92183303833008,0.1988765150308609,1.1199766397476196,-0.7326096892356873,-0.001805342617444694,-0.3705644905567169,0.5115790367126465,-0.7969447076320648,-10.15280818939209,0,0,0,36869.5234375,-1,24.600961266801548,27.713924407958984,3696.246826171875,-1,False,False,True,False,388.3633599888999,1,0.07080259174108505,0.04033728316426277,-0.3449280261993408,0.9350852966308594,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
36.93483494763576,6.279884783728619,6.279884783728619,36.83352203848892,0.38791248844285064,0.14612739361726312,0.6727270656456312,-40.86678695678711,6.009283065795898,7.177769660949707,97.93510437011719,106.10639953613281,27.812976837158203,24.14842987060547,-2.73380446434021,36.917259216308594,0.2053367644548416,1.1204224824905396,-0.9002071619033813,-0.18989087641239166,-0.303913950920105,0.25718796253204346,-0.8241086602210999,-10.108885765075684,0,0,0,36270.17578125,-1,24.600961266801548,26.6200008392334,3696.246826171875,-1,False,False,True,False,388.36963838897645,1,0.0708460733294487,0.04031378775835037,-0.34487995505332947,0.9351007342338562,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
